fen,next_move,move_type,material_diff,num_legal_moves,is_in_check,center_control
8/4k3/p6B/2PPpp2/8/3P4/8/7K w - - 1 35,h6g7,0,3,13,0,1
6r1/p1k5/3p4/8/8/P1P1K3/1R3P1P/5b2 w - - 1 31,b2b1,0,-1,22,0,3
8/5p1r/4p2k/6p1/2PpN1Pp/P6P/5P2/R3NR1K b - - 1 30,d4d3,0,11,8,0,1
r1bqkbnr/pppp1ppp/8/4n3/4PP2/1PN5/P1PP3P/R1BQKBNR w KQkq - 1 7,f4e5,1,0,33,0,4
r1bqkbnr/1ppp1ppp/p1n1p3/8/P7/6PP/RPPPPP2/1NBQKBNR b Kkq - 1 4,c6a7,0,0,34,0,3
3k2n1/5p2/2N1p3/6p1/1p6/3p4/PP6/1R1K4 b - - 1 28,d8c8,0,2,4,1,1
2k2b1r/1p4p1/1P3pnp/3pP3/P2p2K1/6PP/1P2P2R/RN2QBN1 w - - 1 21,e2e3,0,18,28,0,0
rnb1kr2/Rp5p/4pp2/4p1p1/2K1P2P/8/2PQ2P1/6N1 b q - 1 17,f6f5,0,-1,17,0,3
7r/2k1n3/7p/5p2/8/K4P1P/8/8 w - - 1 34,a3a4,0,-8,7,0,1
r1b5/1pppk3/n5p1/8/1pP3n1/6P1/P2K4/7R b - - 1 26,a8a7,0,-11,25,0,1
8/r7/1p5P/3k4/3P4/5P2/7K/3R4 b - - 1 31,d5e6,0,2,19,0,3
3n1k2/3r4/8/1K5p/8/8/P7/8 w - - 1 39,a2a3,0,-8,9,0,0
1nbk4/rp1p1p2/p1p5/P3p3/4P3/1PNP4/1RPb1K2/3Q1BN1 w - - 1 19,d1d2,1,8,29,0,4
2Q5/p1p2k1p/6p1/5p2/5P2/2N4P/P1PK4/R2Q2NR w - - 1 18,a1b1,0,33,40,0,3
5kr1/pp5p/8/P1p2K2/8/1P3P2/8/1N3B2 b - - 1 27,g8h8,0,0,18,0,1
8/1P1k4/n7/p3B3/5p1p/5P1P/3NPK2/3R3B w - - 1 31,e5d4,0,12,33,0,3
1B6/2p1k3/7R/5R2/3QP3/1P3P2/2P1P1K1/8 w - - 1 32,f5d5,0,26,63,0,7
5r2/1bk2pp1/8/4p3/p3pP2/N7/PP1P4/R1BK4 b - - 1 22,c7c6,0,2,25,0,3
2k5/8/p7/1p6/3Pp1P1/6B1/2b3K1/6N1 w - - 1 38,g2f1,0,2,19,0,2
8/k5b1/5p1p/5P1P/8/2K1P1PR/1p6/8 w - - 1 38,c3c4,0,3,13,0,2
r1bqkb1r/pppppp1p/8/1N4pQ/n7/2P1P2P/1P1PNPP1/R1B1KB1R b KQkq - 1 8,b7b6,0,2,19,0,0
Qn2qbnr/p1p4p/3pp1pk/8/2P1p3/2N2N2/PP1P1K1P/1RB2B1R w - - 1 13,a8b8,1,6,39,0,7
2bq1rk1/3nn3/1pp1pp1B/8/2P1P3/5KP1/1P6/6N1 b - - 1 20,g8h7,0,-17,19,0,5
