fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
r3kbnr/ppp1pppp/8/8/Q2Nb3/4N3/Pq1B1PPP/R3K2R b KQkq - 1 13,middlegame,,67,5,0,1,2,2,-197,c7c6
rnbqkbnr/ppp3pp/3p4/4pp2/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,C41,78,37,0,0,3,3,173,e4f5
8/pp3k1p/6p1/8/8/6P1/PP2r1K1/8 w - - 0 37,endgame,,12,5,1,0,0,2,-596,g2h1
r3Q3/pk1n4/2p1Q3/8/2pP2P1/8/PPP5/1K2R3 b - - 0 34,middlegame,,39,17,0,0,3,2,802,a8e8
8/5pk1/6pp/p7/1p1N3P/1Pp3K1/b3B3/8 w - - 0 40,middlegame,,17,23,0,0,0,0,-72,e2d3
5kr1/1n2qp2/4pN2/1P1pP1BQ/1p1P4/1P4P1/6P1/1R4K1 w - - 1 37,middlegame,,47,38,0,0,3,2,9997,h5h6
2b1rnk1/5p1p/5ppP/2pPb3/1pP5/1q2B3/r1Q2PP1/2KR3R b - - 1 28,middlegame,,61,43,0,0,3,2,-9999,b3c2
4rr1k/6p1/p4q1p/2P3B1/2Q5/7P/P4PP1/2R2RK1 b - - 0 30,middlegame,,49,36,0,0,3,3,368,f6g5
rnbqk1nr/pp3ppp/3bp3/2pp4/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 1 5,opening,A04,78,34,0,0,3,4,26,e1g1
8/pp3p2/2p2pkp/3p4/PP1P4/2P1PKP1/8/8 w - - 1 32,endgame,,13,10,0,0,3,3,-48,f3f4
5k2/5p2/8/2Q5/3p1n2/P2B1P1P/2P3PK/2q5 b - - 2 40,middlegame,,31,3,0,1,4,1,492,f8g8
8/8/p4kpp/1p2p3/3pPP1P/3q4/7Q/K7 b - - 1 40,middlegame,,27,24,0,0,2,3,-490,d3a3
r1b1k2r/1pqp1ppp/p1n1pn2/8/8/3B4/P1PB1PPP/R2QR1K1 w kq - 2 15,middlegame,,65,43,0,0,2,4,-464,d2g5
8/1p4pp/p1p5/2k5/8/6P1/PP2K2P/8 w - - 0 33,endgame,,9,15,0,0,0,2,-438,e2d3
2k1r3/pp2R3/2p4p/q1P3p1/3Qp3/P1N1B2P/K1P2PP1/3R4 b - - 0 41,middlegame,,51,21,0,0,4,1,1152,a5d8
3r1rk1/ppp2pq1/6p1/4p1bp/4Q3/1PP2N2/1P3P2/R5RK w - - 0 25,middlegame,,55,50,0,0,3,3,226,g1g5
rn1qkb1r/ppp2ppp/5n2/3P1b2/2B1pP2/2N5/PPPP2PP/R1BQK1NR w KQkq - 4 6,opening,C31,77,33,0,0,3,2,55,g1e2
rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,D32,78,33,0,0,4,3,33,c4d5
r4rk1/pp1Rbppp/4p3/8/8/3N4/P1p2PPP/R5K1 w - - 0 24,middlegame,,37,29,0,0,3,1,-98,d7e7
2kr2r1/1p4p1/p6p/3pbn2/N3p3/6P1/PP4BP/R6K w - - 0 26,middlegame,,37,20,0,0,1,3,-550,a4c5
3r1rk1/ppp3pp/1bn1bP2/8/2P1N3/P3PN2/1B3PPP/R3KB1R b KQ - 0 15,middlegame,,53,41,0,0,3,3,490,b6a5
rn4k1/pp6/2p1Nrp1/3B1p2/3PP3/2N4Q/PPP5/R4RK1 w - - 0 20,middlegame,,51,51,0,0,4,2,1639,e6g5
2r5/1p6/pk1Q1N2/3Pp3/P7/7P/1qr2PP1/2RR2K1 b - - 0 28,middlegame,,49,4,0,1,4,2,549,b6a5
rnb1kbnr/ppp1qppp/3p4/8/2B1P3/2p2N2/PP3PPP/RNBQK2R w KQkq - 0 6,opening,C41,76,47,0,0,3,2,97,b1c3
8/1k5p/q1p3b1/1PP5/8/1Q3p2/P4P1P/K2RR3 w - - 1 41,middlegame,,39,42,0,0,4,2,9998,b5a6
4Nk2/p6n/1p2p1B1/3pP2P/3P4/6P1/PP5K/8 w - - 1 36,middlegame,,19,21,0,0,2,2,613,e8d6
8/p1P2Qpk/7p/6q1/1P3p2/P4P1P/6P1/3R2K1 w - - 1 39,middlegame,,33,41,0,0,3,2,9997,c7c8q
r4rk1/p1Q3pp/1p3p2/8/2P5/1P4P1/PB3PKP/R4R2 b - - 0 21,middlegame,,43,18,0,0,3,1,811,f8f7
r1b3kr/ppp3b1/2np2QR/4P3/1q1P4/2N1B3/PPP2PP1/2KR2N1 b - - 0 17,middlegame,,67,32,0,0,4,2,577,d6e5
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1PP2/3P1N2/PPP3PP/RNBQK2R w KQkq - 1 6,opening,C30,78,36,0,0,4,4,-39,b1c3
r3k2r/p3N3/bp2Q2p/3pP3/3P3P/q1P5/P2K1PP1/R6R b kq - 0 19,middlegame,,55,28,0,0,3,1,-64,a3b2
R4bk1/8/8/4KP2/P7/8/7p/8 w - - 0 48,endgame,,11,16,0,0,3,0,-448,f5f6
8/p4rpk/3p1r1n/4p2R/2Q2p2/2P5/1P3q2/K1B4R b - - 1 47,middlegame,,51,34,0,0,4,2,-317,f2c2
