fen,phase,eco
r3kbnr/ppp1pppp/8/8/Q2Nb3/4N3/Pq1B1PPP/R3K2R b KQkq - 1 13,middlegame,
rnbqkbnr/ppp3pp/3p4/4pp2/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,C41
8/pp3k1p/6p1/8/8/6P1/PP2r1K1/8 w - - 0 37,endgame,
r3Q3/pk1n4/2p1Q3/8/2pP2P1/8/PPP5/1K2R3 b - - 0 34,middlegame,
8/5pk1/6pp/p7/1p1N3P/1Pp3K1/b3B3/8 w - - 0 40,middlegame,
5kr1/1n2qp2/4pN2/1P1pP1BQ/1p1P4/1P4P1/6P1/1R4K1 w - - 1 37,middlegame,
2b1rnk1/5p1p/5ppP/2pPb3/1pP5/1q2B3/r1Q2PP1/2KR3R b - - 1 28,middlegame,
4rr1k/6p1/p4q1p/2P3B1/2Q5/7P/P4PP1/2R2RK1 b - - 0 30,middlegame,
rnbqk1nr/pp3ppp/3bp3/2pp4/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 1 5,opening,A04
8/pp3p2/2p2pkp/3p4/PP1P4/2P1PKP1/8/8 w - - 1 32,endgame,
5k2/5p2/8/2Q5/3p1n2/P2B1P1P/2P3PK/2q5 b - - 2 40,middlegame,
8/8/p4kpp/1p2p3/3pPP1P/3q4/7Q/K7 b - - 1 40,middlegame,
r1b1k2r/1pqp1ppp/p1n1pn2/8/8/3B4/P1PB1PPP/R2QR1K1 w kq - 2 15,middlegame,
8/1p4pp/p1p5/2k5/8/6P1/PP2K2P/8 w - - 0 33,endgame,
2k1r3/pp2R3/2p4p/q1P3p1/3Qp3/P1N1B2P/K1P2PP1/3R4 b - - 0 41,middlegame,
3r1rk1/ppp2pq1/6p1/4p1bp/4Q3/1PP2N2/1P3P2/R5RK w - - 0 25,middlegame,
rn1qkb1r/ppp2ppp/5n2/3P1b2/2B1pP2/2N5/PPPP2PP/R1BQK1NR w KQkq - 4 6,opening,C31
rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,D32
r4rk1/pp1Rbppp/4p3/8/8/3N4/P1p2PPP/R5K1 w - - 0 24,middlegame,
2kr2r1/1p4p1/p6p/3pbn2/N3p3/6P1/PP4BP/R6K w - - 0 26,middlegame,
3r1rk1/ppp3pp/1bn1bP2/8/2P1N3/P3PN2/1B3PPP/R3KB1R b KQ - 0 15,middlegame,
rn4k1/pp6/2p1Nrp1/3B1p2/3PP3/2N4Q/PPP5/R4RK1 w - - 0 20,middlegame,
2r5/1p6/pk1Q1N2/3Pp3/P7/7P/1qr2PP1/2RR2K1 b - - 0 28,middlegame,
rnb1kbnr/ppp1qppp/3p4/8/2B1P3/2p2N2/PP3PPP/RNBQK2R w KQkq - 0 6,opening,C41
8/1k5p/q1p3b1/1PP5/8/1Q3p2/P4P1P/K2RR3 w - - 1 41,middlegame,
4Nk2/p6n/1p2p1B1/3pP2P/3P4/6P1/PP5K/8 w - - 1 36,middlegame,
8/p1P2Qpk/7p/6q1/1P3p2/P4P1P/6P1/3R2K1 w - - 1 39,middlegame,
r4rk1/p1Q3pp/1p3p2/8/2P5/1P4P1/PB3PKP/R4R2 b - - 0 21,middlegame,
r1b3kr/ppp3b1/2np2QR/4P3/1q1P4/2N1B3/PPP2PP1/2KR2N1 b - - 0 17,middlegame,
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1PP2/3P1N2/PPP3PP/RNBQK2R w KQkq - 1 6,opening,C30
r3k2r/p3N3/bp2Q2p/3pP3/3P3P/q1P5/P2K1PP1/R6R b kq - 0 19,middlegame,
R4bk1/8/8/4KP2/P7/8/7p/8 w - - 0 48,endgame,
8/p4rpk/3p1r1n/4p2R/2Q2p2/2P5/1P3q2/K1B4R b - - 1 47,middlegame,
r1bqkbnr/pp2pppp/2np4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,opening,B20
rnbqk2r/ppppp1bp/5np1/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,opening,A88
r4rk1/ppp2p2/5qn1/7p/3p3P/P4PR1/4PKQ1/5B2 w - - 0 25,middlegame,
rnbqk1nr/ppppppbp/6p1/8/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,opening,B06
3r2k1/4Rr2/p2p1p2/2pPpB2/PpN1P3/3P2P1/1P5P/5RK1 w - - 1 41,middlegame,
2krr3/ppp2ppp/2p2n2/P1q2b2/2P2B2/3B1Q2/6PP/R2R3K w - - 0 21,middlegame,
rnbqkb1r/pp4pp/2p1pn2/3p1p2/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq - 0 6,opening,A80
3rk1r1/pp4pp/3B4/8/4P3/8/PP3PPP/1R3RK1 b - - 0 15,middlegame,
rnbqkb1r/p3pppp/1p1p1n2/2p5/3P1P2/3BP3/PPP3PP/RNBQK1NR w KQkq - 0 5,opening,A45
1Q6/p5K1/3B4/1k5p/7P/6P1/P7/8 b - - 0 53,middlegame,
Bnkq1b1r/p5p1/5n1p/2p2P2/Q1Pp1B2/8/PP3PPP/RN3RK1 b - - 0 17,middlegame,
8/pp3p1p/5k2/3p4/5PB1/1P2K3/P6P/8 w - - 0 36,endgame,
3rr2k/R6p/4B1p1/3P2b1/1p6/2R1P2P/PP4P1/6K1 w - - 0 30,middlegame,
8/8/p3k1p1/5p1p/5P2/3P3P/2P3P1/6K1 w - - 0 41,endgame,
r1bq1rk1/1p1pppb1/5npp/3n4/4P1PB/p4N1P/P2Q1PB1/2KR3R b - - 0 15,middlegame,
6k1/4qpp1/3b3p/8/2pPRPP1/2P4P/1P3Q2/2B3K1 b - - 0 35,middlegame,
rnbqkbnr/ppp1pp1p/3p2p1/8/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,opening,B07
rnbqk2r/p1pp1ppp/1p2pn2/8/2PP4/P1b5/1PQ1PPPP/R1B1KBNR w KQkq - 0 6,opening,E32
8/p5pk/7p/1r1K4/3Pn3/8/6PP/1q6 w - - 2 41,middlegame,
5r2/1b3rp1/p3p1k1/1pQ3b1/8/2P2P2/PP6/3nK1R1 w - - 0 29,middlegame,
r1bqk2r/pppnbppp/3p1n2/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 6,opening,A55
